number,name,shinyLocked,notes
000,Suicune,FALSE,
000,Lugia,FALSE,
000,Latias,FALSE,
000,Latios,FALSE,UltraSunExclusive
000,Kyogre,FALSE,
000,Uxie,FALSE,
000,Mesprit,FALSE,
000,Azelf,FALSE,
000,Kyurem,FALSE,
000,Mewtwo,FALSE,
000,Raikou,FALSE,UltraSunExclusive
000,Entei,FALSE,
000,Dialga,FALSE,UltraSunExclusive
000,Cobalion,FALSE,
000,Terrakion,FALSE,
000,Virizion,FALSE,
000,Reshiram,FALSE,UltraSunExclusive
000,Zekrom,FALSE,
000,Xerneas,FALSE,UltraSunExclusive
000,Articuno,FALSE,
000,Zapdos,FALSE,
000,Moltres,FALSE,
000,Ho-oh,FALSE,UltraSunExclusive
000,Rayquaza,FALSE,
000,Cresselia,FALSE,
000,Tornadus,FALSE,UltraSunExclusive
000,Thundurus,FALSE,
000,Landorus,FALSE,
000,Yveltal,FALSE,
000,Regirock,FALSE,
000,Regice,FALSE,
000,Registeel,FALSE,
000,Groudon,FALSE,UltraSunExclusive
000,Palkia,FALSE,
000,Heatran,FALSE,UltraSunExclusive
000,Regigigas,FALSE,
000,Giratina,FALSE,
000,Nihilego,FALSE,
000,Buzzwole,FALSE,UltraSunExclusive
000,Pheromosa,FALSE,
000,Xurkitree,FALSE,
000,Celesteela,FALSE,
000,Kartana,FALSE,UltraSunExclusive
000,Guzzlord,FALSE,
